created_at,job,price(usd),matched_keywords_job,combined_keywords
2021-07-13 19:03:59,Estrella grande araña y ruedas,19.37,Araña,"ruedas, rueda, araña"
2021-06-19 16:20:34,Cilindro y basculante,49.51,Basculante,basculante
2021-07-01 15:52:10,"1 - Cilindro y ruedas  2- basculante, cilindro y ruedas",77.89,Basculante,"cilindro, basculante, ruedas, rueda"
2021-07-02 14:29:00,"1- Cilindro, basculante y ruedas   2.- Cilindro, basculante y Ruedas   ..... Revisar por si hay algo mas",106.21,Basculante,"basculante, ruedas, rueda"
2021-07-12 14:25:15,Reparar inserto apoyab. derecho y tornillo basculante,8.55,Basculante,basculante
2021-07-12 16:38:04,"Sollas 1) y 3) fijar altura. Sillòn 2) Basculante, Retapizado, completo, fijar altura colocando carcaza y 1 rueda.",88.89,Basculante,rueda
2021-08-12 17:22:13,"Ruedas, basculante y lubricar regulaciòn de altura",39.66,Basculante,basculante
2021-09-20 15:04:10,Cambiar basculante,35.71,Basculante,basculante
2021-09-27 14:51:20,Cambiar basculante y 1 rueda,31.87,Basculante,"basculante, rueda"
2021-10-06 19:09:55,Cambiar basculante con parker y cilindro y cucurucho,41.86,Basculante,"cilindro, basculante"
2021-11-08 20:43:38,"Chapòn basculante, cilindro y suplem. estrella",64.86,Basculante,"cilindro, basculante, estrella"
2021-11-24 15:28:06,Revisar inclinaciòn/ cambiar basculante,37.16,Basculante,basculante
2021-11-24 17:42:46,"Cilindro, ruedas y chapon basculante",73.65,Basculante,"basculante, ruedas, rueda"
2021-12-06 15:42:34,Cambiar basculante y fijar,46.49,Basculante,basculante
2021-12-09 19:28:49,Cambiar basculante,39.01,Basculante,basculante
2022-01-05 19:24:06,"1 bulòn, basculante y 4 torn. Parker. Agreguè $ 300.- por colocar tacos de Grilòn.",30.86,Basculante,basculante
2022-01-08 16:50:06,"Colocar estrella cromada, cilindro y basculante",71.29,Basculante,"cilindro, basculante, estrella"
2022-03-10 15:17:57,Cambiar basculante,34.18,Basculante,basculante
2022-03-25 16:08:22,Revisar cilindro y basculante,23.98,Basculante,"cilindro, basculante"
2022-04-07 17:37:55,Cambiar basculante,22.9,Basculante,basculante
2022-04-27 15:10:42,"Presupuestar basculante, retap. de laterales y revisar.",54.45,Basculante,basculante
2022-05-19 19:11:59,Cambiar basculante y ruedas,36.67,Basculante,"basculante, ruedas, rueda"
2022-06-04 14:59:25,Cambiar cilindro y basculante ( c/Parker),45.17,Basculante,"cilindro, basculante"
2022-07-01 19:16:09,Revisar basculante y ver ajuste cilindro en chapòn,7.34,Basculante,"cilindro, basculante"
2022-07-28 15:53:25,Cambiar basculante,27.97,Basculante,basculante
2022-07-30 13:38:19,Cambiar basculante y revisar asiento,0.0,Basculante,basculante
2022-08-18 17:42:09,colocar base neum. completa c/basculante,72.63,Basculante,basculante
2022-11-10 18:17:10,Colocar basculante,33.49,Basculante,basculante
2023-01-23 14:18:14,Basculante y revisar,21.64,Basculante,
2023-03-20 13:21:06,Cambiar el basculante,29.9,Basculante,basculante
2023-03-27 14:57:14,Revisar basculante de nuevo,0.0,Basculante,basculante
2023-05-11 18:00:34,Cambiar cilindro y basculante,50.31,Basculante,"cilindro, basculante"
2023-05-24 18:07:37,Cambiar basculante y colocar insertos necesarios,26.8,Basculante,basculante
2023-06-01 16:39:58,Revisar basculante,30.67,Basculante,basculante
2023-07-21 19:26:03,Cambiar basculante,24.59,Basculante,basculante
2023-08-19 16:43:58,"Cambiar basculante y cilindro, c/insertos",49.66,Basculante,"cilindro, basculante"
2023-09-15 16:14:47,ruedas y basculante (se baja cuando bascula),33.67,Basculante,"basculante, ruedas, rueda"
2023-10-11 18:24:28,"Colocar cilindro, basculante y 1 rueda",69.74,Basculante,"cilindro, basculante, rueda"
2021-07-10 15:36:48,"Retapizado, cilindro, canasto, y chapòn.",53.56,Canasto,"cilindro, canasto"
2021-08-20 13:55:39,cambiar chapón con U- cambiar cilindro,34.56,Chapón,"cilindro, chapón"
2021-08-28 16:40:50,cambiar chapon (comun)- poner 4 parker-  ver si hay que suplementar cilindro  al cambiar chapón,16.43,Chapón,"cilindro, chapón"
2023-01-03 19:31:30,"Chapón, cilindro, contacto y 2 ruedas",53.19,Chapón,"cilindro, ruedas, rueda"
2023-03-01 16:07:12,Ver chapón y reforzar ó cambiar,13.14,Chapón,chapón
2023-03-01 16:11:31,Cambiar chapón y 1 rueda,15.46,Chapón,"chapón, rueda"
2023-04-12 16:11:19,"Retapizado, perilla chapón y revisar cilindro",48.27,Chapón,"cilindro, chapón"
2023-08-03 14:11:31,Chapón comun,10.62,Chapón,
2021-06-17 17:14:28,"Retapizar asiento,ruedas, chapòn, colocar arandelas y cilindro",51.84,Cilindro,"cilindro, ruedas, rueda"
2021-06-17 19:10:57,Cambiar cilindro y prolongaciòn.,22.09,Cilindro,cilindro
2021-06-17 19:14:12,Cilindro,18.4,Cilindro,
2021-06-19 16:20:34,Cilindro y basculante,49.51,Cilindro,basculante
2021-06-22 14:37:25,Cilindro,19.02,Cilindro,
2021-06-22 17:14:19,"Cilindro, ruedas y repar. en inserto apoyabrazos.",28.53,Cilindro,"ruedas, rueda"
2021-06-22 19:13:03,cambiar cilindro,0.0,Cilindro,cilindro
2021-06-22 19:46:56,Cambiar cilindro y revisar,19.02,Cilindro,cilindro
2021-06-23 19:40:49,Cilindro y relleno,28.22,Cilindro,
2021-06-26 14:06:13,cambiar cilindro,19.02,Cilindro,cilindro
2021-06-26 15:55:53,Cilindro,19.02,Cilindro,
2021-06-29 18:11:51,"1) Retapizado y cilindro  2) Retapizado, 2 tornillos y cilindro",76.69,Cilindro,cilindro
2021-06-30 16:32:50,Cilindro,19.02,Cilindro,
