id,clientId,created_at,updated_at,description,job,price,comments,status,paymentSign
2,2,"2021-06-16 23:33:47","2021-07-27 14:58:33","Silla 8500 , 4 patas, azul","Soldar estructura",1700,"AVISADO X W APP 22/07/21",Entregada,1000
3,3,"2021-06-17 17:14:28","2021-07-02 19:00:18","Sillon gerencial mediano, negro","Retapizar asiento,ruedas, chapòn, colocar arandelas y cilindro",8450,"Autorizò reparaciòn el 24/06 por w app",Entregada,NULL
4,4,"2021-06-17 19:10:57","2021-07-28 17:19:44","Silla tipo Tyson violeta/ agregar prolong. $ 500","Cambiar cilindro y prolongaciòn.",3600,"Avisada x w app",Entregada,1000
5,5,"2021-06-17 19:14:12","2021-06-22 19:47:23","Silla Ergo negra",Cilindro,3000,Avisado,Entregada,1000
6,6,"2021-06-18 15:00:37","2021-07-02 19:04:19","Silla tipo Rody alta color roja tela",chapòn,2000,"Chapòn solo",Entregada,NULL
8,7,"2021-06-18 16:35:38","2021-08-17 15:32:58","12 Sillas variadas","Ver en cuaderno/ falta pago",65690,"Enviè w app con precio y presupuesto detallado al mail. Numeraciòn de sillas: 0258 (1) / 0052 (2) / (3) 1459 / 0458 (4) / (5) sin numerar / 1458 (6) / 1437 (7) / 1445 (8) / 1584 (9) / 0474 (10) / 0710 (11) / 0505 (12)",Entregada,NULL
9,8,"2021-06-19 16:20:34","2021-06-26 15:28:53","Sillon tipo mesh","Cilindro y basculante",8070,"Basculante: $4970 y cilindro $3100
AVISADA",Entregada,2000
10,9,"2021-06-22 13:17:55","2021-07-01 15:56:03","Silla tipo red","Colocar 4 tornillos c/arandela en respaldo, abrir y cerrar tapizado para colocar 2 insertos nuevos.",1100,"Autorizò reparaciòn 25/06  x w app
AVISADO 29/06/21",Entregada,NULL
11,10,"2021-06-22 14:37:25","2021-06-22 16:50:17","Sillon Gammer Rojo",Cilindro,3100,NULL,Entregada,180
13,12,"2021-06-22 17:14:19","2021-06-30 17:19:21","Sillon gerencial Negro","Cilindro, ruedas y repar. en inserto apoyabrazos.",4650,AUTORIZADO,Entregada,NULL
14,13,"2021-06-22 19:13:03","2021-07-28 17:18:21","Silla Alma blanca","cambiar cilindro",0,"La comprò acà, està en garantìa
AVISADO 01/07",Entregada,NULL
15,5,"2021-06-22 19:46:56","2021-06-30 19:34:17","Silla Ergo gris","Cambiar cilindro y revisar",3100,NULL,Entregada,NULL
16,14,"2021-06-23 19:40:49","2021-07-08 15:03:49","Silla azul baja moderna","Cilindro y relleno",4600,"La trajo vecino Jorge 2235039618 . Autorizò x w app el 25/06",Entregada,NULL
17,15,"2021-06-24 15:27:20","2021-06-25 19:45:24","Sillòn C chico","Cambiar chapòn",1900,AVISADO,Entregada,NULL
18,16,"2021-06-25 15:47:07","2021-08-09 18:30:52","Sillòn tipo C chico c/casco marròn","Cotizar base completa neum. y tornillos en respaldo",7150,"Base neumàtica completa y tornillos respaldo  $ 7150.- 
AVISADO X W APP",Entregada,NULL
19,17,"2021-06-25 19:49:21","2021-09-10 19:56:34","Sillatipo Red","Ruedas, retapizar asiento y funda en parte superior de respaldo, 1 apoyabrazos usado.",5350,"avisado 22/7- 01/09",Entregada,NULL
20,18,"2021-06-26 14:06:13","2021-07-06 17:28:27","Silla tipo R con chapòn U","cambiar cilindro",3100,"AUTORIZADA
Avisado 30/06 y facturada a Mònica Juan ,  enviada x mail.",Entregada,NULL
21,19,"2021-06-26 15:42:07","2021-09-02 16:32:32","Silla tipo NV 5 roja","Colocar apoyas oval y armar",1770,"AVISADA X W APP 28/06",Entregada,NULL
22,20,"2021-06-26 15:55:53","2021-09-02 16:32:02","Sillòn Mesh cromado",Cilindro,3100,"AVISADO X W APP  28/06",Entregada,NULL
23,21,"2021-06-29 18:11:51","2021-09-02 16:31:37","1 Silla Diva y 1 Silla R baja","1) Retapizado y cilindro  2) Retapizado, 2 tornillos y cilindro",12500,"Avisada x w app  03/07/21
Retapizado en Pana Blue / Tabaco ò Sepia
Cataluña 6165 ( y Rojas ) cobrar flete. Precio de contado.",Entregada,NULL
24,22,"2021-06-29 18:47:12","2021-07-01 15:34:47","Sillòn C chico c/gris","Fijar altura en màx.  y cambiar chapòn.",3100,"Fijar altura $ 1600.-
Chapòn $ 1500.-
Avisado x w app 30/06",Entregada,200
25,23,"2021-06-30 16:32:50","2021-07-02 20:04:12","Silla Fresa blanca resp. naranja",Cilindro,3100,"AUTORIZADO
Avisado por w app 30/06",Entregada,1000
26,24,"2021-06-30 18:21:29","2021-09-28 18:04:50","Silla RR alta negra","Colocar chapòn con U y cambiar inserto (abrir y cerrar tapizado)",2600,"Enviè un mensaje consultando x cambio de ruedas ( $ 1250.- ) 03/07/21
AVISADO 21/07",Entregada,NULL
27,25,"2021-06-30 19:48:45","2021-08-18 16:24:52","Sillòn Mesh cromado","Fabricar interno asiento c/insertos, abrir y cerrar tapizado.",3500,"Enviè w app 03/07/21
AVISADO",Entregada,NULL
28,26,"2021-07-01 15:52:10","2021-07-21 16:01:22","1 Silla Gerencial negra --  1 Silla operativa con red","1 - Cilindro y ruedas  2- basculante, cilindro y ruedas",13670,"Enviè w app 03/07/21 AUTORIZADO
Terminada 12/7/21, AVISAR",Entregada,NULL
29,27,"2021-07-02 14:29:00","2021-07-27 20:03:55","1- Sillon Aluminio Bajo   2.- Sillon aluminio bajo","1- Cilindro, basculante y ruedas   2.- Cilindro, basculante y Ruedas   ..... Revisar por si hay algo mas",18640,"Con el tapizado no podemos hacer nada.
Enviè w app 03/07/21
AUTORIZADO 03/07/21
AVISADO 19/7/21",Entregada,NULL
30,28,"2021-07-02 14:31:50","2021-07-22 13:55:08","Sillon gerencial negro","Estrella, tapizar asiento grande, y arandela en chapòn.",4250,"Enviè w app  03/07/21
AUTORIZADO TRAE RUEDA FALTANTE
AVISADO 13/07/21",Entregada,NULL
31,29,"2021-07-06 15:10:21","2021-07-10 16:41:38","Base cromada","Cambio de cilindro",3100,"Avisè que no se puede sacar la carcaza del cilindro  y  que se puede cambiar lo de adentro,  va  a quedar con un poco de juego.
AUTORIZADO / AVISADO",Entregada,1000
32,30,"2021-07-07 15:28:59","2021-07-22 15:01:47","Sillòn gerencial","Se cambiò cilindro y se suplementò c/aluminio en el chapòn.",3800,"Puede ser el chapòn pasado. ver DE SUPLEM. CHAPÒN.
AUTORIZADO",Entregada,NULL
33,31,"2021-07-07 18:17:14","2021-07-13 17:53:04","Sillòn gerencial negro c/estructura de caño","Retapizado y cilindro",7600,terminado-avisado,Entregada,2000
34,32,"2021-07-08 15:03:08","2021-08-20 15:08:12","4 Sillas tipo Rody Alta , negras con apoyabrazos","RevisaVer cuaderno",19700,"Pasar presupuesto al 2235277866 Roxana
AUTORIZADO 21/07
AVISADO /Hacen transferencia y luego retiran.",Entregada,NULL
35,33,"2021-07-08 16:35:34","2021-07-20 17:33:27","3 sillòn Aluminio bajo","1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",11000,"AUTORIZADO y avisado",Entregada,NULL
36,34,"2021-07-08 17:19:33","2021-08-17 14:37:15","4  Sillas tipo  " 8500 " fijas, en tela negra.",Retapizado,12400,"Ver tela negra c/POLI",Entregada,NULL
37,35,"2021-07-08 18:00:16","2021-08-17 14:41:42","3 Sillones gerenciales en Ecocuero negro y 1 sillòn en tela negra.","Revisar y arreglar ( ver cuaderno )",25600,"Hice 1 llamado, preguntar x Sr. Anglada",Entregada,NULL
38,36,"2021-07-10 14:35:55","2021-07-28 14:41:28","Sillòn gerencial tipo Trento cromado","Revisar inclinaciòn hacia adelante",5200,"AUTORIZADO
AVISADO",Entregada,NULL
39,37,"2021-07-10 15:20:24","2021-08-17 14:43:08","Silla Rody alta","Retapizar asiento, ruedas y tornillos",3000,"Lo màs econòmico posible
AVISADO",Entregada,NULL
40,38,"2021-07-10 15:36:48","2021-08-17 14:43:59","Silla 7010 , sin apoyas, en tela jaspeada verde","Retapizado, cilindro, canasto, y chapòn.",9400,"Silla igual nueva le sale $ 13400.-
Enviè w app 21/07. NO SE HACE",Entregada,NULL
41,39,"2021-07-12 14:25:15","2021-09-28 18:05:46","Sillon gerencial bordo con pintas","Reparar inserto apoyab. derecho y tornillo basculante",1500,NULL,Entregada,NULL
42,40,"2021-07-12 14:50:49","2021-07-19 18:22:19","2 SILLAS ROTAS",Revisar,800,"Armar 1 silla con las 2
AVISADA",Entregada,NULL
43,41,"2021-07-12 16:38:04","2021-08-04 20:00:19","3 sillas operativas ( 1 desarmada )","Sollas 1) y 3) fijar altura. Sillòn 2) Basculante, Retapizado, completo, fijar altura colocando carcaza y 1 rueda.",15600,"ENVIE W APP 16/07/21. Confirmo las sillas a dejar fijas.
AUTORIZADO
ENTREGADO 15600 + 10 % por pago en 12
AVISADO",Entregada,NULL
44,42,"2021-07-12 17:59:20","2021-09-29 19:21:16","Silla Ergo sin apoyabrazos, negra","falta avisar",5170,"RUEDAS
CILINDRO
Fijar c/tuercas respaldo
SUPLEMENTAR ARANDELA (Conseguir perilla) del contacto permanente
AVISADO X W APP",Entregada,NULL
45,43,"2021-07-13 17:32:43","2021-12-11 16:36:14","Debe 2 cilindros $ 5000.- al 13/07/21/Pagò $ 25000.- el 16/07/21/ Llevò 2 Tyson completos 24/07/21. Retiro 1 cilindro 26/04 impago.Retirò 2 resp. completos y 3 ruedas 29/07/21. Retirò 1 cilindro y pagò 3500.- 03/08/21. /pagò $ 900.- / Debe $ 2750.- al 04/08/21 / Pagò y llevò 9 cil. $ 24750.- /Llevò 14/08/21  3 
contactos, 1 cilindro y 5 ruedas pagò $ 18860.- debe $ 750.- / Pagò $ 34010.- 25/08/21 ( llevò 4 resp. comp., 1 contacto, 2 cilindros 8 ruedas y 3 estrella mediana ). Debe $ 2550.- en total/  19/08 devolviò 1 contacto y saldò con $ 2580.- / llevò 1 rueda y pagò. / Levò cilindro extra largo, debe $ 3900.- PAGADO 16/09/21. tiene $ 40 a favor. 21/09/21 lleva 1 cilindro ( debe)/pagado. / 08/12/21 llevò 5 cilindros,2 respaldos comp., 2 estrellas y 3 contactos. $ 42370.-/PAGADO","Venta de repuestos",0,"Precios a partir del 13/07/21 : cilindro $ 2750.- / $ 1600.- /Contacto $ 3670.- / Basculante $ 4500.- /ruedas $ 300.-/ estrella chica $ 1100.-/estrella grande $ 1480.-/chapòn $ 1600.-/ Respaldo Tyson completo c/contacto 
PRECIOS A PARTIR DEL 14/09/21 : Estrella mediana $ 1680.- / Cilindro neumàtico $ 2950.- / Ruedas $ 330.- / Contacto permanente $ 4030.- / Chapòn $ 1800.- / Respaldo completo $ 5100.- / Equipo giratorio $ 2000.-",Entregada,NULL
46,44,"2021-07-13 19:03:59","2021-07-29 15:23:07","Silla tipo Candy Operative negra","Estrella grande araña y ruedas",3400,"Colocar estrella araña y 5 ruedas
PAGADO",Entregada,NULL
47,45,"2021-07-14 12:57:50","2021-07-19 18:43:31","Silla marròn clara con apoyas",Revisar,03100,"Ingresa 13/7
Tipo complicado !!",Entregada,0
48,46,"2021-07-14 12:59:51","2021-08-17 14:47:46","Silla tipo 7010 puntino azul, no-neumàtica, sin apoyas","Cambiar estructura y tapizar en Ecocuero Talampaya gris claro",5400,"Ingresa 13/7
Pasè presupuesto 30/07/21",Entregada,0
49,47,"2021-07-14 19:07:38","2021-08-17 14:50:30","Silla cromada c/cuero blanco","Reparaciòn respaldo",3600,"AUTORIZADO
AVISADO 24/07 POR W APP",Entregada,1500
50,48,"2021-07-14 19:57:46","2021-07-27 14:51:45","Silla Mesh mediana","Consultar por funda Mesh",2800,"Hacer funda Mesh
AUTORIZADO",Entregada,NULL
51,49,"2021-07-15 14:22:41","2021-07-20 13:36:22","Silla china","Cambio de cilindro",3100,NULL,Entregada,NULL
52,50,"2021-07-15 15:11:41","2021-09-02 16:29:16","2 Sillas respaldo red negras c/apoyas - 1 Banqueta blanca","1) Cilindro e interno en madera 2)Interno completo  3) Tornillos, aceitar, limpiar",10700,"AUTORIZADO
TERMINADO
AVISADO",Entregada,NULL
53,51,"2021-07-16 14:29:34","2021-08-11 14:09:10","Silla RR alta negra","Cilindro y bulòn en c. permanente",4100,NULL,Entregada,NULL
54,52,"2021-07-19 16:45:47","2021-08-02 14:08:10","Silla estructura metàlica gris, resp. y apoyas en madera.","cilindro, retap.y rell. asiento y tornillos",5500,"AUTORIZADO
Retapizar en Pana celeste ò gris ò tabaco ( Camel )
AVISADO",Entregada,500
55,53,"2021-07-21 14:48:04","2021-09-02 16:28:41","Silla NV-5","Retapizar asiento y cambiar chapòn.",3500,"Enviè w app 24
PAGADO",Entregada,NULL
56,54,"2021-07-21 14:56:42","2021-08-02 16:02:05","Sillòn gerencial Trento","Fijar altura en màximo",0,"AVISADA POR WP",Entregada,NULL
57,55,"2021-07-22 18:39:45","2021-08-17 14:54:08","Silla Alma Gris/Visòn","Revisar cilindro",0,"SIN CARGO",Entregada,NULL
58,56,"2021-07-23 16:20:35","2021-08-26 15:23:16","Sillon gerencial Negro","Revisar . Ver estrella, ruedas. retapizar (pasan el color de ecocuero). Pasar presupuesto",7500,"Retapizado en Talampaya 379
Se cambiaron ruedas y se cambiaron forros de la estrella.
AVISADO
$ 5300 + $ 1500 + $ 700 = $ 7500.-",Entregada,NULL
59,57,"2021-07-23 16:50:37","2021-07-30 13:35:29","Sillòn gerencial negro","Retapizado completo en Ecocuero Talampaya  5738 / 5731 / 5734",6870,"Retapizado, ruedas",Entregada,NULL
60,58,"2021-07-26 14:52:14","2021-08-14 14:11:02","2 Rody Alta negras sin apoyabrazos","Revisar y pasar presup",8200,"AURORIZADO
PAGADO
AVISADO",Entregada,NULL
61,59,"2021-07-26 19:03:55","2021-07-30 16:42:46","1) Sillòn Monet negro, cromado 1) Silla 7010 neum. s/brazos 4) India negra plàstica  c/apoy. Golf 3) India cromada c/apoy. Golf","Cambiar cilindros y revisar ( VER CUADERNO )",37140,"AUTORIZADO
Enviè x w app datos bancarios y factura.",Entregada,NULL
62,60,"2021-07-27 15:51:41","2021-07-31 15:29:57","Sillòn gerencial negro","Suplementar estrella",700,"AVISADO X W APP 29/07/21",Entregada,700
63,61,"2021-07-28 17:56:46","2021-09-02 16:28:17","Silla plàstica blanca","Cortar y cambiar chapòn",3000,"CUIT 30-71099871-6
AUTORIZADA",Entregada,1000
64,62,"2021-07-28 18:22:33","2021-08-20 19:25:29","Silla tipo 8500 neumàtica negra","cortar y soldar chapòn",3200,NULL,Entregada,1000
65,63,"2021-07-28 19:52:46","2021-07-31 17:05:00","Estrella c/caño y 3 ruedas","colocar estrella mediana y 1 rueda",2450,NULL,Entregada,NULL
66,36,"2021-07-29 13:22:56","2021-08-20 19:18:48","Silla negra tipo india?con apoyas y base cromada(como las que entraron de giama)","Retapizar y rellenar (ver), arreglar respaldo y ruedas.",4500,"La trajo hoy a la mañana a primera hora .
ENVIe w app 
TERMINADO
AVISADO",Entregada,0
67,64,"2021-07-29 14:47:41","2021-08-20 19:50:26","Silla 7010 neumatica sin apoyas negra","Cortar y sodar chapon nuevo. Ver ruedas",3200,NULL,Entregada,1000
68,65,"2021-07-29 15:31:21","2021-08-05 16:22:17","Silla Red negra","Estrella chica",1800,Entregada,Entregada,500
69,66,"2021-07-29 16:40:44","2023-10-10 16:24:38","3 Sillas 8500 trineo c/apoyas (falta 1) blancas;  1 silla cajera rr baja negra",Revisar,7500,"CAJERA SE LE CAMBIÒ EL TAPIZADO AL ASIENTO.
CAJERA SE LE RETOCÒ EL ARO CON PINTURA NEGRA.
Sillas 8500 trineo se le colocaron tapones (4 x silla) y regatones ( 1 x silla ) , se limpiaron tapizados y se retocò pintura estructura.
$ 2100 (cajera )
RETIRO CAJERA 26/08",Entregada,NULL
70,67,"2021-07-29 19:48:30","2021-08-10 18:46:10","2 Sillones gernciales negros","revisar ruedas y cotizar retapizado asientos",10400,"AUORIZADO
aVISADO",Entregada,NULL
71,68,"2021-07-30 15:12:49","2021-08-27 13:57:19","6 Silla 8500 neumàtica, con apoyas, color beige y 1 Gerencial c/casco color beige","Retapizado completo en Ecocuero negro y colocar tornillos faltantes de carcazas",25950,"Sillas c/u $ 3500.- y Sillòn $ 4950.-
AVISADO",Entregada,NULL
72,69,"2021-07-30 18:52:07","2021-08-25 18:41:18","Silla Rody baja s/brazos verde","cambiar chapòn con U $ 2500.- y retapizar en Talampaya 379 ò 454 ( trae 4 sillas màs para retapizar) $ 3600.- c/retapizado",6100,"1) $ 6100.-
AVISADO/ PAGADO",Entregada,5000
73,70,"2021-08-03 13:19:44","2021-08-04 13:15:28","Silla alma negra red millenium",Cilindro,3400,"La trajo a primera hora 3/8 hace 2 semanas estaba esperando traerla le dijimos que estabamos a full.
AUTORIZADO",Entregada,1000
74,71,"2021-08-03 14:14:27","2021-08-05 18:12:22","Sillòn gerencial simple negro","Cilindro y revisar",3400,"AVISADO X W APP",Entregada,600
75,72,"2021-08-03 14:51:59","2021-09-02 18:17:51","1 Silla " 7010 " negra s/apoyas 2 Sillas cajeras " Ergo " sin apoyas y 2 sillas Ergo sin apoyas.","Ver cuaderno.",33450,"Avisè x w app
AUTORIZADO / HACER PRIMERO SILLAS BAJAS !! ENTREGUE FACTURA
Entregue las 3 bajas el 05/08/21 , HACER LAS CAJERAS PARA EL MIERCOLES / JUEVES
Terminadas las 3 bajas
PAGO EN 15 DIAS",Entregada,NULL
76,73,"2021-08-03 19:26:48","2021-08-11 16:05:52","Sillòn gerencial negro","Cambio de cilindro",3400,"CUIT 30715288083
AVISADO",Entregada,1000
77,74,"2021-08-04 14:17:56","2021-09-28 18:07:12","Sillòn gerencial negro","Retapizar asiento-Cilindro-Cucurucho",8150,AUTORIZADA,Entregada,NULL
78,75,"2021-08-04 14:22:45","2021-08-13 13:57:45","Silla chica negra","Soldar chapòn",2100,"se le adaptò chapòn nuevo a los 
insertos que ya tenìa el asiento

AVISADO",Entregada,NULL
79,76,"2021-08-04 16:17:06","2021-08-11 16:44:26","plato de chapòn gerencial c/interior cilindro y estrella cober","colocar cilindro corto",3600,"trae estrella para colocarlo completo / PAGADO


AVISADO",Entregada,NULL
80,77,"2021-08-04 18:20:03","2021-08-06 19:12:48","Silla china negra con bordes plateados",Cilindro,3400,AUTORIZADO,Entregada,1000
